APSIM output file, version = 5.3
Title = stock lablab SAMPLE Simulation
           Date           rain        paddock         number            sex            age         weight     cond_score         intake      wt_change      trampling
            (?)            (?)            (?)            (?)            (?)            (d)           (kg)            (-)            (?)         (kg/d)        (kg/ha)
     11/05/1989          0.000          0.000              2          steer        533.000        186.733          0.186          8.854          1.320          0.000
     12/05/1989          0.000          0.000              2          steer        534.000        188.061          0.212          8.881          1.329          0.000
     13/05/1989          0.000          0.000              2          steer        535.000        189.398          0.238          8.907          1.337          0.000
     14/05/1989          0.000          0.000              2          steer        536.000        190.744          0.263          8.931          1.345          0.000
     15/05/1989          0.200          0.000              2          steer        537.000        192.096          0.289          8.951          1.352          0.000
     16/05/1989          1.600          0.000              2          steer        538.000        193.450          0.316          8.960          1.354          0.000
     17/05/1989          2.200          0.000              2          steer        539.000        194.805          0.342          8.969          1.356          0.000
     18/05/1989          1.400          0.000              2          steer        540.000        196.163          0.368          8.978          1.358          0.000
     19/05/1989          0.000          0.000              2          steer        541.000        197.526          0.394          8.994          1.363          0.000
     20/05/1989          0.000          0.000              2          steer        542.000        198.894          0.420          9.008          1.367          0.000
     21/05/1989          0.000          0.000              2          steer        543.000        200.265          0.447          9.021          1.371          0.000
     22/05/1989          0.000          0.000              2          steer        544.000        201.640          0.473          9.032          1.375          0.000
     23/05/1989          8.400          0.000              2          steer        545.000        203.016          0.500          9.041          1.377          0.000
     24/05/1989          0.000          0.000              2          steer        546.000        204.395          0.526          9.049          1.378          0.000
     25/05/1989          0.000          0.000              2          steer        547.000        205.774          0.553          9.055          1.379          0.000
     26/05/1989          0.000          0.000              2          steer        548.000        207.155          0.579          9.062          1.381          0.000
     27/05/1989          1.000          0.000              2          steer        549.000        208.535          0.606          9.066          1.381          0.000
     28/05/1989          0.000          0.000              2          steer        550.000        209.916          0.632          9.071          1.381          0.000
     29/05/1989          0.000          0.000              2          steer        551.000        211.298          0.658          9.077          1.382          0.000
     30/05/1989          0.000          0.000              2          steer        552.000        212.681          0.685          9.082          1.383          0.000
     31/05/1989          0.000          0.000              2          steer        553.000        214.064          0.711          9.088          1.383          0.000
     01/06/1989          3.000          0.000              2          steer        554.000        215.448          0.738          9.093          1.384          0.000
     02/06/1989          0.000          0.000              2          steer        555.000        216.831          0.764          9.095          1.383          0.000
     03/06/1989          0.000          0.000              2          steer        556.000        218.214          0.791          9.099          1.383          0.000
     04/06/1989          0.000          0.000              2          steer        557.000        219.598          0.817          9.104          1.383          0.000
     05/06/1989          1.000          0.000              2          steer        558.000        220.982          0.843          9.108          1.384          0.000
     06/06/1989         13.200          0.000              2          steer        559.000        222.365          0.870          9.111          1.383          0.000
     07/06/1989          0.400          0.000              2          steer        560.000        223.747          0.896          9.113          1.382          0.000
     08/06/1989          0.000          0.000              2          steer        561.000        225.119          0.922          9.096          1.372          0.000
     09/06/1989          0.400          0.000              2          steer        562.000        226.491          0.948          9.099          1.372          0.000
     10/06/1989          1.000          0.000              2          steer        563.000        227.828          0.974          9.032          1.336          0.000
     11/06/1989          0.000          0.000              2          steer        564.000        229.047          1.000          8.797          1.219          0.000
     12/06/1989          0.600          0.000              2          steer        565.000        230.263          1.023          8.794          1.216          0.000
     13/06/1989          0.200          0.000              2          steer        566.000        231.479          1.045          8.797          1.216          0.000
     14/06/1989          0.000          0.000              2          steer        567.000        232.695          1.068          8.802          1.217          0.000
     15/06/1989          0.000          0.000              2          steer        568.000        233.913          1.091          8.807          1.218          0.000
     16/06/1989          0.000          0.000              2          steer        569.000        235.131          1.114          8.813          1.218          0.000
     17/06/1989          0.000          0.000              2          steer        570.000        236.351          1.137          8.819          1.220          0.000
     18/06/1989          0.000          0.000              2          steer        571.000        237.575          1.159          8.831          1.224          0.000
     19/06/1989          0.000          0.000              2          steer        572.000        238.800          1.182          8.837          1.225          0.000
     20/06/1989          0.000          0.000              2          steer        573.000        240.026          1.205          8.841          1.225          0.000
     21/06/1989          0.000          0.000              2          steer        574.000        241.129          1.228          8.598          1.103          0.000
     22/06/1989          0.000          0.000              2          steer        575.000        242.228          1.248          8.591          1.099          0.000
     23/06/1989          0.000          0.000              2          steer        576.000        243.296          1.269          8.532          1.068          0.000
     24/06/1989          0.000          0.000              2          steer        577.000        244.349          1.288          8.504          1.053          0.000
     25/06/1989          0.000          0.000              2          steer        578.000        245.190          1.307          8.071          0.841          0.000
     26/06/1989          0.000          0.000              2          steer        579.000        245.691          1.322          7.336          0.501          0.000
     27/06/1989          0.000          0.000              2          steer        580.000        246.189          1.330          7.331          0.498          0.000
     28/06/1989          0.000          0.000              2          steer        581.000        246.755          1.338          7.485          0.566          0.000
     29/06/1989          5.400          0.000              2          steer        582.000        247.321          1.348          7.487          0.566          0.000
     30/06/1989          0.800          0.000              2          steer        583.000        247.886          1.357          7.486          0.565          0.000
