Summary_file = sugar.sum
Title = Sugar Sample Simulation
           Date             es            eos             eo          drain   infiltration            esw          esw()             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)     residue_wt     irrigation            lai        biomass  green_biomass    swdef_photo    nfact_photo
             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)           (mm)      (m^2/m^2)        (g/m^2)        (g/m^2)             ()             ()
     01/08/1980          1.547          1.547          3.625          0.224          0.000        321.903        323.021             11.847             27.821             39.193             20.059             12.848              9.618              8.055       1484.785          0.000          0.703         99.182         99.182          1.000          1.000
     02/08/1980          2.053          2.053          4.830          0.248          0.000        317.719        319.602             12.098             27.138             38.837             19.909             12.786              9.630              8.064       1438.356          0.000          0.746        108.466        108.466          1.000          1.000
     03/08/1980          1.355          1.355          3.211          0.267          1.000        315.948        317.097             11.885             26.879             38.583             19.774             12.707              9.635              8.073       1381.736          0.000          0.791        114.721        114.721          1.000          1.000
     04/08/1980          0.869          1.875          4.461          0.279          0.000        313.313        314.800             11.813             26.536             38.269             19.607             12.604              9.634              8.079       1334.956          0.000          0.844        123.953        123.953          1.000          1.000
     05/08/1980          0.712          1.951          4.692          0.284          0.000        310.992        312.316             11.739             26.223             37.813             19.501             12.485              9.629              8.083       1290.611          0.000          0.911        133.739        133.739          1.000          1.000
     06/08/1980          1.199          1.199          2.935          0.281          4.000        312.886        313.512             11.218             26.140             37.559             19.465             12.377              9.622              8.084       1237.912          0.000          0.959        140.351        140.351          1.000          1.000
     07/08/1980          0.589          0.589          1.449          0.273          1.000        312.463        313.024             10.980             25.963             37.456             19.410             12.297              9.613              8.084       1194.671          0.000          0.985        143.930        143.930          1.000          1.000
     08/08/1980          1.788          1.788          4.393          0.260          0.000        308.715        310.415             10.986             25.515             37.092             19.275             12.199              9.605              8.082       1150.361          0.000          1.045        154.509        154.509          1.000          1.000
     09/08/1980          2.043          2.231          5.549          0.243          0.000        304.837        306.430             11.231             24.949             36.500             19.111             12.061              9.595              8.079       1114.670          0.000          1.113        168.235        168.235          1.000          1.000
     10/08/1980          0.554          1.915          4.852          0.222          0.000        302.462        304.060             11.368             24.550             35.900             18.896             11.910              9.586              8.075       1085.889          0.000          1.179        180.993        180.993          1.000          1.000
